Title,RatingTomatometer,No. of Reviews
Ultimate X: The Movie (2002),74,47
The Blind Side (2009),66,200
More Than a Game (2009),71,51
Secretariat (2010),63,148
Dust to Glory (2005),60,68
NASCAR: The IMAX Experience (2004),61,44
Glory Road (2006),56,151
The Sandlot (1993),57,49
Because of Winn-Dixie (2005),55,121
The Perfect Game (2010),57,44
Steep (2007),54,48
First Descent (2005),52,64
Soul Surfer (2011),45,103
Goal! The Dream Begins (Goal!: The Impossible Dream) (2005),43,82
The Replacements (2000),41,108
Beerfest (2006),40,107
Grudge Match (2013),30,136
Jiminy Glick in Lalawood (2005),22,45
Playing for Keeps (2012),5,88
Behind the Candelabra (2013),95,101
The Return (2004),95,86
Being Elmo: A Puppeteer's Journey (2011),95,78
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)",95,62
Best Worst Movie (2010),95,64
American Movie (1999),94,49
The Normal Heart (2014),94,50
"Yoo-hoo, Mrs. Goldberg (2009)",93,68
The Kid Stays in the Picture (2002),91,112
Side by Side (2012),92,66
Joan Rivers: A Piece Of Work (2010),91,105
Duel (1972),88,41
Saraband (2003),91,85
Corman's World: Exploits Of A Hollywood Rebel (2011),92,50
"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2012)",91,43
Tell Them Who You Are (2005),88,65
The Five Obstructions (2003),88,60
Doctor Zhivago (1965),82,45
This Film Is Not Yet Rated (2006),84,116
Trekkies (1999),86,42
Inside Deep Throat (2005),83,120
Outfoxed: Rupert Murdoch's War on Journalism (2004),85,60
Trumbo (2007),83,54
Confirmation (2016),82,44
Tupac: Resurrection (2003),78,89
Overnight (2004),78,77
Teacher's Pet (2004),76,74
POM Wonderful Presents: The Greatest Movie Ever Sold (2011),74,129
Fellini: I'm a Born Liar (2003),73,40
My Date With Drew (2004),71,65
Only Human (Seres queridos) (2006),71,52
Waking Sleeping Beauty (2010),70,50
Porn Star: The Legend of Ron Jeremy (2001),69,49
The Rugrats Movie (1998),59,49
I'm Still Here (2010),53,128
No Strings Attached (2011),49,167
Bamboozled (2000),48,97
The Real Cancun (2003),35,88
I Am (2011),36,47
15 Minutes (2001),32,124
Man of the Year (2006),22,143
Pokemon 3: The Movie (2001),21,56
The Honeymooners (2005),13,111
From Justin To Kelly (2003),10,63
"The Good, the Bad and the Ugly (1966)",97,68
Unforgiven (1992),96,96
The Wild Bunch (1969),94,54
The Ballad of Buster Scruggs (2018),92,194
The Man Who Shot Liberty Valance (1962),93,43
Butch Cassidy and the Sundance Kid (1969),90,48
3:10 to Yuma (2007),89,218
Django Unchained (2012),86,274
Blazing Saddles (1974),90,52
True Grit (1969),88,52
McCabe & Mrs. Miller (1971),89,47
The Magnificent Seven (1960),88,42
The Three Burials of Melquiades Estrada (2006),85,145
Meek's Cutoff (2011),86,126
The Proposition (2005),85,124
Dances With Wolves (1990),82,72
The Homesman (2014),81,147
The Hateful Eight (2015),74,308
"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom) (2010)",83,64
Open Range (2003),79,183
Shanghai Noon (2000),79,134
Appaloosa (2008),76,161
The Assassination of Jesse James by the Coward Robert Ford (2007),76,173
Hostiles (2018),71,201
Red Hill (2010),78,65
In a Valley of Violence (2016),76,67
The Keeping Room (2015),75,83
The Horse Whisperer (1998),74,57
Blackthorn (2011),75,73
Tombstone (1993),73,45
Fah talai jone (Tears of the Black Tiger) (2007),74,62
The Magnificent Seven (2016),63,289
The Salvation (2015),72,78
Dead Man (1995),70,50
The Rover (2014),66,165
Maverick (1994),66,53
The Claim (2000),62,84
The Missing (2003),58,173
Heaven's Gate (1980),57,42
Legends of the Fall (1994),56,55
The Quick and the Dead (1995),57,40
Sukiyaki Western Django (2008),56,54
The Killer Inside Me (2010),54,127
Seraphim Falls (2007),55,85
Ned Kelly (2003),56,54
Down in the Valley (2006),52,101
Cowboys & Aliens (2011),45,249
Forsaken (2016),43,44
Jane Got a Gun (2016),41,80
Brimstone (2017),41,71
A Million Ways to Die in the West (2014),33,197
The Lone Ranger (2013),31,235
The Alamo (2004),29,158
The Warrior's Way (2010),28,40
The Dark Tower (2017),16,248
Wild Wild West (1999),17,131
Priest (2011),15,97
American Outlaws (2001),14,103
September Dawn (2007),15,54
Jonah Hex (2010),12,147
Texas Rangers (2001),2,51
