Title,RatingTomatometer,No. of Reviews
Tim Burton's Corpse Bride (2005),84,188
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),100,50
La Grande illusion (Grand Illusion) (1938),97,66
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",97,62
The Battle of Algiers (La Battaglia di Algeri) (1967),98,85
M (1931),100,51
The 400 Blows (Les Quatre cents coups) (1959),100,55
Army of Shadows (L'Armée des ombres) (1969),97,72
Rashômon (1951),98,52
The Wages of Fear (1953),100,43
Open City (1946),100,42
Tokyo Story (Tôkyô monogatari) (1953),100,41
The Leopard (1963),100,46
Battleship Potemkin (1925),100,45
The Conformist (1970),98,53
Au Hasard Balthazar (1966),100,40
Things to Come (L'avenir) (2016),100,135
La Dolce Vita (1960),97,58
Let the Right One In (2008),98,183
Playtime (1973),100,44
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),98,50
The Rules of the Game (La règle du jeu) (1939),98,45
"Faces Places (Visages, villages) (2017)",99,129
The Passion of Joan of Arc (La Passion de Jeanne d'Arc) (1928),98,45
Tampopo (1985),100,51
The Salesman (Forushande) (2017),96,187
A Separation (2011),99,169
Eyes Without a Face (1962),98,54
Gloria (2014),99,126
8 1/2 (1963),98,47
Pather Panchali (1955),98,42
The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),98,55
A Fantastic Woman (Una mujer fantástica) (2018),94,200
Three Colors: Red (Trois couleurs: Rouge) (1994),100,52
Le Cercle Rouge (1970),95,59
The Tale of the Princess Kaguya (2014),100,86
Amy (2015),95,209
BPM (Beats Per Minute) (120 battements par minute) (2017),98,119
Sing Street (2016),95,199
GETT: The Trial of Viviane Amsalem (2015),100,75
Solaris (1976),96,56
Wings of Desire (1987),98,51
The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),98,40
Timbuktu (2015),98,116
Jiro Dreams of Sushi (2012),99,92
Aruitemo Aruitemo (Still Walking) (2008),100,63
The Taste of Others (Le goût des autres) (2000),100,58
All About My Mother (Todo sobre mi madre) (1999),98,85
Toni Erdmann (2016),93,219
Waste Land (2010),100,70
The Band's Visit (2007),98,116
Poetry (2011),100,65
The Vanishing (Spoorloos) (1988),98,46
Loveless (Nelyubov) (2018),94,162
Elevator to the Gallows (Ascenseur pour l'échafaud) (1958),93,55
God's Own Country (2017),97,110
Afghan Star (2009),100,60
A Prophet (Un prophete) (2010),97,153
Three Colors: Blue (Trois Couleurs: Bleu) (1993),98,43
After the Storm (Umi yori mo mada fukaku) (2017),96,127
About Elly (2015),99,69
